Taxa S.bin_Mincm Maxcm Feeding guild n
Phycis blennoides_14 37 66 Benth 92
Platichthys flesus_10 3 5 Benth 524
Platichthys flesus_11 5 10 Benth 120
Platichthys flesus_12 10 18 Benth 94
Platichthys flesus_13 18 33 Benth 1071
Pleuronectes platessa_11 5 10 Benth 359
Pleuronectes platessa_12 10 18 Benth 1835
Pleuronectes platessa_13 18 33 Benth 7216
Pleuronectes platessa_14 33 62 Benth 2075
Pomatoschistus minutus_11 6 10 Benth 64
Raja clavata_12 13 24 Benth 154
Raja clavata_13 24 43 Benth 1475
Raja clavata_14 43 77 Benth 3013
Raja clavata_15 77 138 Benth 638
Raja montagui_13 21 37 Benth 553
Raja montagui_14 37 65 Benth 1512
Scophthalmus maximus_11 5 9 Benth 141
Scorpaena notata_12 8 15 Benth 56
Scorpaena notata_13 15 27 Benth 34
Serranus hepatus_12 8 15 Benth 134
Solea solea_12 10 19 Benth 224
Solea solea_13 19 34 Benth 453
Solea solea_14 34 62 Benth 39
Spondyliosoma cantharus_13 16 29 Benth 112
Trigla lyra_12 10 19 Benth 731
Trigla lyra_13 19 35 Benth 568
Trigla lyra_14 35 66 Benth 29
Trisopterus luscus_12 9 17 Benth 812
Trisopterus luscus_13 17 31 Benth 3146
Trisopterus luscus_14 31 56 Benth 207
Trisopterus minutus_12 10 18 Benth 1510
Trisopterus minutus_13 18 32 Benth 883
Urophycis chuss_12 9 17 Benth 60
Urophycis chuss_13 17 31 Benth 2390
Urophycis chuss_14 31 59 Benth 2434
Amblyraja radiata_14 38 72 P-crust 2017
Brosme brosme_14 34 61  P-crust 94
Chelidonichthys cuculus_14 33 60 P-crust 67
Chelidonichthys lucerna_14 33 61 P -crust 299
Conger conger_13 36 63 P-crust 7539
Conger conger_14 63 110 P -crust 299
Dicentrarchus labrax_14 33 61 P-crust 45
Eutrigla gurnardus_13 19 35 P-crust 10341
Gadus morhua_14 34 64 P-crust 88031
Helicolenus dactylopterus_13 15 28 P-crust 1713
Helicolenus dactylopterus_14 28 52 P-crust 182
Hippoglossoides platessoides_13 20 35 P-crust 5343
Hippoglossoides platessoides_14 35 63 P-crust 506
Hippoglossus hippoglossus_13 19 35 P-crust 137
Hippoglossus hippoglossus_14 35 62 P-crust 166
Leucoraja naevus_14 42 73 P-crust 520
Limanda limanda_14 33 59 P-crust 240
Melanogrammus aeglefinus_13 19 35 P-crust 23072
Melanogrammus aeglefinus_14 35 64 P-crust 12683
Melanogrammus aeglefinus_15 64 118 P-crust 1134
Pollachius pollachius_13 19 35 P-crust 110
Pollachius virens_13 19 35 P-crust 724
Scophthalmus maximus_12 9 16 P-crust 103
Scyliorhinus canicula_13 27 49 P-crust 6584
Scyliorhinus canicula_14 49 88 P-crust 5808
Spondyliosoma cantharus_14 29 54 P-crust 171
Squalus acanthias_12 14 25 P-crust 55
Amblyraja radiata_15 72 137 Pisc 103
Eutrigla gurnardus_14 35 65 Pisc 476
Gadus morhua_15 64 118 Pisc 28208
Gadus morhua_16 118 217 Pisc 705
Hippoglossus hippoglossus_15 62 113 Pisc 42
Hyperoplus lanceolatus_13 28 53 Pisc 133
Lepidorhombus whiffiagonis_14 38 70 Pisc 545
Lophius budegassa_12 9 16 Pisc 168
Lophius budegassa_13 16 31 Pisc 216
Lophius budegassa_14 31 58 Pisc 371
Lophius budegassa_15 58 108 Pisc 61
Lophius piscatorius_12 8 15 Pisc 145
Lophius piscatorius_13 15 29 Pisc 1279
Lophius piscatorius_14 29 57 Pisc 682
Lophius piscatorius_15 57 112 Pisc 223
Merlangius merlangus_13 20 37 Pisc 61886
Merlangius merlangus_14 37 67 Pisc 4132
Merluccius merluccius_13 21 38 Pisc 7377
Merluccius merluccius_14 38 69 Pisc 2042
Merluccius merluccius_15 69 126 Pisc 58
Molva macrophthalma_12 17 31 Pisc 993
Molva macrophthalma_13 31 55 Pisc 131
Molva macrophthalma_14 55 98 Pisc 37
Pollachius pollachius_14 35 64 Pisc 38
Pollachius virens_14 35 65 Pisc 7197
Pollachius virens_15 65 122 Pisc 2015
Pomatomus saltatrix_13 18 34 Pisc 952
Pomatomus saltatrix_14 34 64 Pisc 849
Scophthalmus maximus_14 29 54 Pisc 2058
Scophthalmus maximus_15 54 98 Pisc 563
Scophthalmus rhombus_13 16 30 Pisc 219
Scophthalmus rhombus_14 30 56 Pisc 1111
Squalus acanthias_13 25 46 Pisc 3400
Squalus acanthias_14 46 85 Pisc 5463
Squalus acanthias_15 85 156 Pisc 358
Zenopsis conchifer_13 19 33 Pisc 72
Zenopsis conchifer_14 33 57 Pisc 48
Zeus faber_13 15 29 Pisc 944
Zeus faber_14 29 55 Pisc 625
